                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.5842,                 1.0334,                 1.0296,                0.79402,                0.68978,                0.75936,                0.36831,                   1.73,                 1.0492,                 1.1116,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.5871,                 1.0338,                 1.0291,                0.79292,                0.69136,                0.76159,                0.36882,                 1.7303,                 1.0479,                 1.1117,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.5864,                 1.0303,                 1.0306,                0.79083,                0.69162,                0.76014,                0.37082,                 1.7297,                 1.0473,                 1.1117,              0.0088615,              0.0088615,              0.0088615
                    118,                 1.5776,                 1.0209,                 1.0274,                 0.7925,                0.69043,                0.76053,                0.37073,                 1.7291,                  1.045,                 1.1113,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.5755,                 1.0258,                 1.0289,                 0.7919,                0.69143,                0.76097,                0.37078,                 1.7293,                 1.0432,                 1.1115,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.5757,                 1.0227,                 1.0249,                0.79639,                0.69021,                0.76128,                0.37227,                 1.7289,                 1.0414,                 1.1113,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.5771,                  1.023,                 1.0246,                0.79732,                0.68848,                 0.7602,                0.37183,                 1.7293,                 1.0404,                 1.1117,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.5702,                 1.0207,                 1.0266,                0.80156,                0.68754,                0.76097,                0.37179,                 1.7307,                 1.0388,                 1.1118,               0.008812,               0.008812,               0.008812
                    123,                 1.5684,                 1.0156,                 1.0248,                0.78277,                0.70216,                 0.7624,                0.37165,                 1.7284,                 1.0372,                 1.1111,              0.0088021,              0.0088021,              0.0088021
                    124,                 1.5649,                 1.0166,                 1.0252,                0.78459,                0.70121,                0.76308,                0.37111,                 1.7294,                 1.0361,                 1.1117,              0.0087922,              0.0087922,              0.0087922
                    125,                 1.5587,                 1.0022,                 1.0229,                0.78122,                0.70283,                0.76354,                0.37155,                 1.7292,                 1.0335,                 1.1111,              0.0087823,              0.0087823,              0.0087823
